id,name,kind,kind_source,review_flag
лицей-1533-лит,Лицей №1533 (ЛИТ),red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
школа-интеллектуал,Школа «Интеллектуал»,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
детский-сад-летово-кидс,Детский сад «Летово Кидс»,green,kindergarten program (places.json @830f792),kindergarten program
школа-179,Школа №179,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
школа-2007,Школа 2007,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
школа-центра-педагогического-мастерства-цпм,Школа Центра педагогического мастерства (ЦПМ),red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лицей-воробьевы-горы,Лицей Воробьевы Горы,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лицей-вторая-школа-в-ф-овчинникова,Лицей «Вторая школа» им. В. Ф. Овчинникова,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
университетская-гимназия-мгу,Университетская гимназия МГУ,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
школа-1568-пабло-неруды,Школа 1568 имени Пабло Неруды,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
школа-1534,Школа 1534,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
силаэдр,Силаэдр,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
абсолют,Абсолют,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
вектор,Вектор,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
колледж-xxi-века,Колледж XXI века,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лицей-экус,Лицей ЭКУС,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лотос,Лотос,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
русская-школа,Русская школа,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
самсон,Самсон,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
солнечный-ветер,Солнечный ветер,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
центр-образования-столичный,Центр образования «Столичный»,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
академическая-гимназия,Академическая гимназия,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
гимназия-святителя-василия-великого,Гимназия Святителя Василия Великого,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
горчаковский-лицей-мгимо,Горчаковский лицей МГИМО,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
древо-познаний,Древо познаний,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
детский-сад-европейской-гимназии-в-сокольниках,Детский сад Европейской гимназии в Сокольниках,green,kindergarten program (places.json @830f792),kindergarten program
детский-сад-и-начальная-школа-радуга-при-золотом-сечении,Детский сад и начальная школа «Радуга» при «Золотом сечении»,green,kindergarten program (places.json @830f792),kindergarten program
карьера,Карьера,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
колибри,Колибри,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лидер,Лидер,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лидеры,Лидеры,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
лучик,Лучик,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
москвич,Москвич,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
московский-лицей-ступени,Московский лицей «Ступени»,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
муми-тролль,Муми-Тролль,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
наследник,Наследник,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
ника,Ника,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
дошкольное-отделение-новой-школы,Дошкольное отделение Новой школы,green,kindergarten program (places.json @830f792),kindergarten program
областная-гимназия-е-м-примакова,Областная гимназия имени Е. М. Примакова,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
областной-технолицей-в-и-долгих,Областной технолицей имени В. И. Долгих,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
олимп-плюс,Олимп-Плюс,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
сааш-марина,СААШ «Марина»,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
феникс,Феникс,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
британская-международная-школа,Британская международная школа,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
ломоносовская-школа-интек,Ломоносовская школа «Интек»,red,manual review 2026-09-25: приём с 1 класса не подтверждён (проверить при развитии),priority: приём с 1 класса не подтверждён
ломоносовская-школа-зеленый-мыс,Ломоносовская школа — Зеленый мыс,red,manual review 2026-09-25: приём с 1 класса не подтверждён (проверить при развитии),priority: приём с 1 класса не подтверждён
международная-гимназия-сколково,Международная гимназия «Сколково»,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
наши-традиции,Наши традиции,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
новый-взгляд,Новый взгляд,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
первая-московская-гимназия,Первая Московская гимназия,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
сколка,Сколка,red,default: школа из списка (легенда red); сигналов blue нет,kind by default (no signal)
